,City,Country,temperature,humidity,cloudiness,wind_speed,latitude,longtitude
0,ostrovnoy,RU,0.96,95.0,97.0,6.86,68.0531,39.5131
1,mahebourg,MU,25.16,73.0,40.0,7.2,-20.4081,57.7
2,qaanaaq,GL,-20.91,76.0,33.0,3.64,77.484,-69.3632
3,zhuhai,CN,27.65,89.0,40.0,3.09,22.2769,113.5678
4,cape town,ZA,11.34,79.0,20.0,1.54,-33.9258,18.4232
5,atuona,PF,26.23,79.0,43.0,8.5,-9.8,-139.0333
6,flinders,AU,19.01,79.0,28.0,1.79,-34.5833,150.8552
7,opuwo,NA,18.46,55.0,4.0,1.0,-18.0607,13.84
8,tiksi,RU,-11.43,86.0,100.0,2.25,71.6872,128.8694
9,pushkinskiye gory,RU,7.57,94.0,100.0,5.61,57.0209,28.9103
10,aykhal,RU,-8.14,61.0,100.0,1.09,66.0,111.5
11,castro,BR,14.03,97.0,67.0,0.52,-24.7911,-50.0119
12,avarua,CK,25.03,88.0,100.0,3.09,-21.2078,-159.775
13,saskylakh,RU,-10.54,84.0,23.0,2.09,71.9167,114.0833
14,constitucion,CL,13.68,93.0,100.0,4.05,-35.3333,-72.4167
15,albany,US,6.66,54.0,100.0,0.37,42.6001,-73.9662
16,vilyuysk,RU,-1.55,90.0,100.0,0.95,63.7553,121.6247
17,ushuaia,AR,3.88,92.0,99.0,2.46,-54.8,-68.3
18,bambous virieux,MU,26.23,71.0,78.0,7.86,-20.3428,57.7575
19,kodinsk,RU,-1.62,79.0,100.0,3.75,58.6881,99.1844
20,teknaf,BD,32.64,58.0,33.0,3.94,20.8624,92.3058
21,busselton,AU,23.78,39.0,29.0,3.11,-33.65,115.3333
22,ambon,ID,35.08,55.0,40.0,3.09,-3.6954,128.1814
23,maragogi,BR,24.35,88.0,50.0,1.95,-9.0122,-35.2225
24,fallon,US,11.46,26.0,0.0,3.0,39.4735,-118.7774
25,kantang,TH,32.69,57.0,68.0,1.2,7.4054,99.5156
26,colonelganj,IN,41.1,7.0,0.0,8.26,27.1333,81.7
27,punta arenas,CL,5.06,93.0,100.0,2.14,-53.15,-70.9167
28,rikitea,PF,23.86,79.0,100.0,4.07,-23.1203,-134.9692
29,new norfolk,AU,17.8,49.0,10.0,1.4,-42.7826,147.0587
30,gobabis,NA,15.9,44.0,7.0,1.59,-22.45,18.9667
31,qingdao,CN,22.78,64.0,87.0,6.0,36.0986,120.3719
32,port hardy,CA,7.08,89.0,100.0,4.71,50.6996,-127.4199
33,arman,RU,2.79,57.0,100.0,1.86,59.7,150.1667
34,mamakan,RU,3.35,54.0,100.0,1.23,57.8161,114.0028
35,bethel,US,10.69,74.0,99.0,1.62,41.3712,-73.414
36,clinton,US,11.82,86.0,99.0,3.84,42.587,-82.9199
37,varhaug,NO,7.58,57.0,1.0,4.78,58.6147,5.6457
38,ayan,RU,-1.56,82.0,100.0,2.78,56.45,138.1667
39,mayor pablo lagerenza,PY,27.38,61.0,60.0,3.82,-19.9309,-60.7718
40,hermanus,ZA,13.9,59.0,64.0,2.37,-34.4187,19.2345
41,torbay,CA,0.55,95.0,100.0,7.72,47.6666,-52.7314
42,yellowknife,CA,-3.02,68.0,11.0,5.36,62.456,-114.3525
43,kruisfontein,ZA,14.38,76.0,35.0,8.17,-34.0033,24.7314
44,puerto ayora,EC,21.84,92.0,44.0,2.86,-0.7393,-90.3518
45,rosita,NI,21.49,99.0,17.0,1.1,13.9268,-84.4032
46,beloha,MG,25.24,71.0,100.0,4.78,-25.1667,45.05
47,port elizabeth,ZA,15.73,96.0,38.0,5.36,-33.918,25.5701
48,port alfred,ZA,16.21,94.0,40.0,2.24,-33.5906,26.891
49,garchitorena,PH,28.38,80.0,85.0,3.56,13.8804,123.6946
50,kodiak,US,4.86,92.0,100.0,6.31,57.79,-152.4072
51,mar del plata,AR,14.93,81.0,72.0,4.02,-38.0023,-57.5575
52,taybad,IR,22.0,42.0,81.0,6.47,34.74,60.7756
53,cabo san lucas,MX,20.88,72.0,0.0,5.25,22.8909,-109.9124
54,tiarei,PF,24.01,78.0,99.0,1.98,-17.5333,-149.3333
55,khatanga,RU,-9.3,85.0,98.0,2.91,71.9667,102.5
56,pisco,PE,16.68,95.0,20.0,0.91,-13.7,-76.2167
57,kolyvan,RU,-2.21,54.0,44.0,4.23,55.3053,82.7391
58,hofn,IS,6.6,76.0,73.0,2.15,64.2539,-15.2082
59,bontang,ID,29.51,69.0,90.0,3.4,0.1333,117.5
60,sault sainte marie,CA,6.9,76.0,100.0,8.23,46.5168,-84.3333
61,zhigansk,RU,-5.72,76.0,100.0,3.39,66.7697,123.3711
62,thompson,CA,-4.91,80.0,75.0,8.75,55.7435,-97.8558
63,pevek,RU,-9.08,92.0,97.0,1.06,69.7008,170.3133
64,nanortalik,GL,1.65,99.0,100.0,2.7,60.1432,-45.2371
65,bilibino,RU,-5.75,80.0,99.0,0.39,68.0546,166.4372
66,dikson,RU,-13.28,89.0,100.0,6.67,73.5069,80.5464
67,hambantota,LK,31.19,70.0,20.0,2.06,6.1241,81.1185
68,beja,TN,12.37,69.0,75.0,1.62,36.7256,9.1817
69,fortuna,US,9.74,91.0,100.0,2.06,40.5982,-124.1573
70,ponta do sol,PT,15.43,66.0,41.0,2.34,32.6667,-17.1
71,qasigiannguit,GL,-2.86,98.0,100.0,0.86,68.8193,-51.1922
72,butaritari,KI,27.41,78.0,76.0,5.04,3.0707,172.7902
73,virginia beach,US,17.07,73.0,31.0,1.34,36.8529,-75.978
74,hobyo,SO,30.19,60.0,82.0,4.72,5.3505,48.5268
75,saint george,US,13.47,25.0,0.0,6.69,37.1041,-113.5841
76,pontes e lacerda,BR,21.56,92.0,86.0,0.45,-15.2261,-59.3353
77,khor,RU,12.3,32.0,75.0,10.67,47.8861,134.9464
78,crotone,IT,19.55,65.0,87.0,3.65,39.0851,17.1178
79,baglung,NP,31.1,17.0,0.0,3.21,28.2719,83.5898
80,raglan,NZ,15.75,78.0,22.0,7.35,-37.8,174.8833
81,jamestown,US,15.2,50.0,33.0,1.34,42.097,-79.2353
82,sur,OM,33.92,36.0,55.0,2.56,22.5667,59.5289
83,araouane,ML,21.28,14.0,3.0,4.05,18.9048,-3.5265
84,emerald,AU,23.52,60.0,97.0,7.91,-23.5333,148.1667
85,launceston,AU,19.87,54.0,9.0,2.57,-41.45,147.1667
86,nikolskoye,RU,3.87,76.0,100.0,4.42,59.7035,30.7861
87,ambilobe,MG,27.97,69.0,82.0,3.37,-13.2,49.05
88,cidreira,BR,14.17,73.0,0.0,2.81,-30.1811,-50.2056
89,ternate,ID,28.77,75.0,44.0,2.84,0.8,127.4
90,tarauaca,BR,22.18,98.0,63.0,0.57,-8.1614,-70.7656
91,bella vista,US,22.11,63.0,0.0,9.26,36.4295,-94.2316
92,xichang,CN,27.6,39.0,15.0,2.1,27.8964,102.2634
93,antioch,TR,24.43,30.0,4.0,2.94,36.2066,36.1572
94,najran,SA,28.97,19.0,3.0,3.97,17.4924,44.1277
95,agirish,RU,3.18,92.0,77.0,1.48,61.9247,63.0231
96,mataura,NZ,10.27,77.0,98.0,3.57,-46.1927,168.8643
97,katsuura,JP,17.01,92.0,100.0,0.9,35.1333,140.3
98,shalinskoye,RU,-2.16,54.0,89.0,4.48,55.7228,93.7594
99,barrow,US,-10.99,92.0,100.0,4.12,71.2906,-156.7887
100,sorong,ID,29.62,70.0,100.0,3.64,-0.8833,131.25
101,kingston,JM,21.78,93.0,90.0,1.61,17.997,-76.7936
102,ketchikan,US,7.99,93.0,100.0,4.17,55.3422,-131.6461
103,kapaa,US,23.78,86.0,24.0,1.79,22.0752,-159.319
104,mbigou,GA,19.77,98.0,99.0,0.78,-1.9005,11.906
105,yakeshi,CN,9.45,30.0,100.0,5.61,49.2833,120.7333
106,hilo,US,22.33,90.0,67.0,0.89,19.7297,-155.09
107,whitehorse,CA,5.43,60.0,75.0,1.03,60.7161,-135.0538
108,bonthe,SL,26.3,89.0,100.0,1.92,7.5264,-12.505
109,bara,NG,27.46,65.0,61.0,6.34,10.3744,10.7288
110,lompoc,US,10.26,91.0,0.0,5.66,34.6391,-120.4579
111,port blair,IN,32.02,70.0,20.0,5.14,11.6667,92.75
112,bredasdorp,ZA,12.37,67.0,33.0,2.02,-34.5322,20.0403
113,thinadhoo,MV,29.46,68.0,100.0,3.52,0.5333,72.9333
114,koumac,NC,25.33,78.0,70.0,4.44,-20.5667,164.2833
115,faanui,PF,26.86,68.0,94.0,2.1,-16.4833,-151.75
116,xam nua,LA,30.04,42.0,39.0,2.56,20.4197,104.0439
117,east london,ZA,17.19,83.0,59.0,7.17,-33.0153,27.9116
118,sao filipe,CV,22.98,74.0,0.0,2.6,14.8961,-24.4956
119,deputatskiy,RU,-9.66,83.0,100.0,1.57,69.3,139.9
120,chuy,UY,11.01,75.0,0.0,2.9,-33.6971,-53.4616
121,sitka,US,4.77,96.0,100.0,2.56,57.0531,-135.33
122,forio,IT,14.95,88.0,58.0,2.24,40.7342,13.8646
123,russkaya polyana,UA,8.52,91.0,88.0,2.23,49.417,31.9201
124,san felipe,VE,21.78,95.0,100.0,1.82,10.3399,-68.7425
125,arraial do cabo,BR,24.35,84.0,41.0,3.9,-22.9661,-42.0278
126,margate,GB,10.39,83.0,99.0,2.68,51.3813,1.3862
127,aklavik,CA,-1.53,94.0,98.0,2.97,68.2191,-135.0107
128,lokosovo,RU,-1.96,77.0,68.0,2.87,61.1333,74.8167
129,paita,PE,20.24,84.0,51.0,4.38,-5.0892,-81.1144
130,cravo norte,CO,26.13,74.0,42.0,2.34,6.3017,-70.2041
131,motygino,RU,-1.69,79.0,100.0,4.23,58.1831,94.7592
132,west wendover,US,7.1,44.0,43.0,3.79,40.7391,-114.0733
133,adrar,MR,19.17,33.0,0.0,4.32,20.5022,-10.0711
